,0,1,2,3,4
1,0.6873945530808075,0.6845285465607164,0.6870663626021922,0.6832551113652697,0.6853454383055607
3,0.7011300615308601,0.6953848217389922,0.6964193165899882,0.6962995157371759,0.6992397585252371
5,0.7098141964182567,0.7086311932163365,0.7097269978229093,0.7073808190551885,0.7079164196591883
7,0.7246836214478278,0.7233955696769114,0.7270354890028156,0.720761643684707,0.7210574379131195
9,0.7448535257884488,0.7440721843599074,0.7462122703881943,0.7454870406199058,0.744705003486757
11,0.7748871185690764,0.7756210492428902,0.7787782142779028,0.7743316232790378,0.7730819908657925
13,0.8061189181095699,0.8048250974472388,0.8167597613878166,0.8135078799845513,0.8073962571739219
15,0.8454709729323931,0.8387947646838361,0.8548520550011257,0.8533905412849123,0.842101051908661
17,0.8827811511553241,0.8729824764010978,0.8934717054178912,0.8899042760007573,0.8759966098420374
19,0.9173918032090886,0.9074119235011089,0.9257332342068408,0.917614718725218,0.9061097181715516
21,0.9504847345742307,0.9357333222308639,0.9484864836120763,0.9364006828963545,0.9274646639193262
23,0.9684747648010876,0.9561856173753817,0.9641355329975057,0.9531873207425807,0.945293888836622
25,0.984391123725267,0.9729973318328203,0.9762046028501737,0.9675657142241672,0.9595920088216146
27,0.990429172425618,0.9845620429295521,0.9847640651484217,0.9787445053286894,0.9708352571264413
29,0.9950828917349896,0.9922890325956737,0.9900514666542246,0.9850092726773386,0.9779896894135207
31,0.997859818084537,0.9950427988074271,0.9921246292302963,0.993654420614464,0.9836514345703165
33,0.9977260567148208,0.9977554661461733,0.9944639030724179,0.9947634524445335,0.9888945264528163
35,0.9987787385373719,0.9991306092422925,0.9952622368705674,0.9985781837009711,0.9923801184074192
37,0.9990971107544142,0.9995653046211462,0.9970839168599087,0.9992643616665553,0.9952986007128676
39,0.9994649545211342,0.9995987427272119,0.9978690155612143,0.9993981140908178,0.9970226704061929
41,0.9995652755484218,0.9996656189393434,0.9984938916445691,0.9993646759847523,0.9981435160363741
43,0.99963215623328,0.9996656189393434,0.9990971711362268,0.9996321808332775,0.9986450876273592
45,0.99963215623328,0.9996656189393434,0.9994475744586786,0.9996321808332775,0.9994984284090147
47,0.99963215623328,0.9996656189393434,0.9996656189393434,0.9996321808332775,0.9995987427272117
49,0.99963215623328,0.9996656189393434,0.9996990570454091,0.9996321808332775,0.9996656189393432
