,train,test
0.1,0.019145689800052424,0.006849872000020696
0.2,0.0327583352000147,0.005878836399961074
0.3,0.04777407760007009,0.0035133053999743423
0.4,0.06049882539996361,0.002946610199933275
0.5,0.07545059959998071,0.0028658698000526782
0.6,0.09266680499999894,0.0018771080000533403
0.7,0.10991656500000317,0.0013939199999640551
0.8,0.12288926239993998,0.0010730246000093756
0.9,0.14034486059999834,0.0006776284000807209
