mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0465911865234375,0.009034477578483038,0.0029221057891845705,0.0006729568773144501,balanced,entropy,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 1}",0.6780136989406214,0.6894748694882002,0.6793256310967223,0.6945683815327692,0.686207173038549,0.6855176094246184,0.006208265152496362,4,0.6873945530808075,0.6845285465607164,0.6870663626021922,0.6832551113652697,0.6853454383055607,0.6855180023829093,0.0015523104607659357
0.08689565658569336,0.009464822495956168,0.003168630599975586,0.0014913267283887235,balanced,entropy,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 3}",0.6902231479760594,0.6971189161248197,0.6887085755396553,0.7101459132500838,0.698587474892953,0.6969564570430927,0.007616065369898342,2,0.7011300615308601,0.6953848217389922,0.6964193165899882,0.6962995157371759,0.6992397585252371,0.6976946948244507,0.002149306597227549
0.12446155548095703,0.003614105864068655,0.002906513214111328,0.0014057844852444787,balanced,entropy,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 5}",0.6916261334566329,0.7099547176199241,0.6904316033529517,0.7088438181087201,0.6915970880616276,0.6984906733301961,0.008924167966356183,1,0.7098141964182567,0.7086311932163365,0.7097269978229093,0.7073808190551885,0.7079164196591883,0.7086939252343759,0.0009648776670612834
0.16545209884643555,0.006103392334527285,0.002345371246337891,0.0006245705202978465,balanced,entropy,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 7}",0.6902532425308842,0.6961115494252039,0.6807070762031722,0.7071268360070493,0.6957516329981356,0.6939898383332863,0.008609093638770765,3,0.7246836214478278,0.7233955696769114,0.7270354890028156,0.720761643684707,0.7210574379131195,0.7233867523450763,0.0023371832454564135
0.20396313667297364,0.01204842383441092,0.0024239063262939454,0.0003999813601036969,balanced,entropy,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 9}",0.6839942047205387,0.6985298340754443,0.6637518779491738,0.695432162581277,0.6856311544728237,0.6854677785536117,0.012195779113438535,5,0.7448535257884488,0.7440721843599074,0.7462122703881943,0.7454870406199058,0.744705003486757,0.7450660049286426,0.000728607480881281
0.2414844036102295,0.007539847469159173,0.0026691913604736327,0.00040335667895738874,balanced,entropy,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 11}",0.6784806052556426,0.6901202492042332,0.6563534383473443,0.6860529967081099,0.6737078601256978,0.676943228792586,0.01177616794574235,6,0.7748871185690764,0.7756210492428902,0.7787782142779028,0.7743316232790378,0.7730819908657925,0.77533999924694,0.0019089702223827045
0.316469669342041,0.017368490905718084,0.0032583236694335937,0.0012769705916268292,balanced,entropy,13,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 13}",0.6630301363598131,0.6741814862172888,0.649831626931227,0.6766050608652017,0.6665238281823228,0.6660342821406781,0.009485891738812204,7,0.8061189181095699,0.8048250974472388,0.8167597613878166,0.8135078799845513,0.8073962571739219,0.8097215828206197,0.0046094230691597965
0.3144040584564209,0.004859292794573903,0.002514171600341797,0.0002558804071956724,balanced,entropy,15,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 15}",0.6493149522340234,0.6689171828192967,0.6350234120182702,0.6578573091142126,0.6541827344202673,0.6530589152969563,0.011091181150205525,9,0.8454709729323931,0.8387947646838361,0.8548520550011257,0.8533905412849123,0.842101051908661,0.8469218771621856,0.0062630148097328215
0.3349177360534668,0.009141854324345031,0.0026233673095703127,0.0003132294403161538,balanced,entropy,17,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 17}",0.6281704424629888,0.6517859032142026,0.6256344218637115,0.643027178496613,0.6431565615688077,0.6383542770996353,0.009907860824429217,16,0.8827811511553241,0.8729824764010978,0.8934717054178912,0.8899042760007573,0.8759966098420374,0.8830272437634216,0.00783285488077653
0.3649316310882568,0.019118064545780744,0.0027794837951660156,0.00023600732282053882,balanced,entropy,19,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 19}",0.6173584384879891,0.6435516439801338,0.6125749290384598,0.6392297158817822,0.6361104513393533,0.6297642544116748,0.012404532525216826,18,0.9173918032090886,0.9074119235011089,0.9257332342068408,0.917614718725218,0.9061097181715516,0.9148522795627615,0.007270030294933916
0.35979499816894533,0.013139970059588814,0.0025804996490478515,9.450878793789215e-05,balanced,entropy,21,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 21}",0.6123860373353803,0.6333495056119318,0.6154859391861867,0.6348480863811278,0.6386580948447536,0.6269444380028132,0.010807054184795975,20,0.9504847345742307,0.9357333222308639,0.9484864836120763,0.9364006828963545,0.9274646639193262,0.9397139774465704,0.008600410363912087
