param_MLP__max_iter,train acc,test acc
1,0.6541181599584297,0.6534118864305858
2,0.5769559967735329,0.5767528705928379
4,0.6742583045443912,0.6717662964994272
8,0.6310390354806065,0.6322696514843967
16,0.6310390354806065,0.6322696514843967
32,0.6310390354806065,0.6322696514843967
64,0.6310390354806065,0.6322696514843967
128,0.6310390354806065,0.6322696514843967
256,0.6310390354806065,0.6322696514843967
512,0.6310390354806065,0.6322696514843967
1024,0.6310390354806065,0.6322696514843967
2048,0.6310390354806065,0.6322696514843967
2100,0.6310390354806065,0.6322696514843967
2200,0.6310390354806065,0.6322696514843967
2300,0.6310390354806065,0.6322696514843967
2400,0.6310390354806065,0.6322696514843967
2500,0.6310390354806065,0.6322696514843967
2600,0.6310390354806065,0.6322696514843967
2700,0.6310390354806065,0.6322696514843967
2800,0.6310390354806065,0.6322696514843967
2900,0.6310390354806065,0.6322696514843967
3000,0.6310390354806065,0.6322696514843967
