,0,1,2,3,4
959,0.7622655122655123,0.7750713165026387,0.7750713165026387,0.7750713165026387,0.7750713165026387
1007,0.7628737748146674,0.7520320564030383,0.7520320564030383,0.7520320564030383,0.7520320564030383
1055,0.7668482133767688,0.7358342767619244,0.7358342767619244,0.7358342767619244,0.7358342767619244
1103,0.7593832404756774,0.7362471332052315,0.7362471332052315,0.7362471332052315,0.7362471332052315
1151,0.7607396844038066,0.7333331754587048,0.7333331754587048,0.7333331754587048,0.7333331754587048
1199,0.7643645505105291,0.7609963389121338,0.7609963389121338,0.7609963389121338,0.7609963389121338
1247,0.7709063345013519,0.7441103309929789,0.7441103309929789,0.7441103309929789,0.7441103309929789
1295,0.7759767294485218,0.732315482584011,0.732315482584011,0.732315482584011,0.732315482584011
1343,0.7656837909953728,0.7174235632886461,0.7174235632886461,0.7174235632886461,0.7174235632886461
1391,0.7673430178069351,0.7303876780558993,0.7303876780558993,0.7303876780558993,0.7303876780558993
1439,0.7687876965475364,0.7372513812969153,0.7372513812969153,0.7372513812969153,0.7372513812969153
1487,0.7646586585823842,0.732504916159177,0.732504916159177,0.732504916159177,0.732504916159177
1535,0.7600635727908456,0.7287043929531141,0.7287043929531141,0.7287043929531141,0.7287043929531141
1583,0.7552500345318669,0.7280155053370898,0.7280155053370898,0.7280155053370898,0.7280155053370898
1631,0.7630057281220072,0.7347183043319682,0.7347183043319682,0.7347183043319682,0.7347183043319682
1679,0.7547652949228102,0.7240464824726359,0.7240464824726359,0.7240464824726359,0.7240464824726359
1727,0.7578247542416514,0.7319419738698397,0.7319419738698397,0.7319419738698397,0.7319419738698397
1775,0.7544758901500058,0.7270614428375448,0.7270614428375448,0.7270614428375448,0.7270614428375448
1823,0.7537227028882106,0.7185093974903624,0.7185093974903624,0.7185093974903624,0.7185093974903624
1871,0.7525790278721957,0.694449408699896,0.694449408699896,0.694449408699896,0.694449408699896
1919,0.7496283004357857,0.7138450791526874,0.7138450791526874,0.7138450791526874,0.7138450791526874
2829,0.7261434901920635,0.6986370257335092,0.6986370257335092,0.6986370257335092,0.6986370257335092
3738,0.7315957946571956,0.7131258304143014,0.7131258304143014,0.7131258304143014,0.7131258304143014
4648,0.7277019544461404,0.7236633918782381,0.7236633918782381,0.7236633918782381,0.7236633918782381
5557,0.7290234488866756,0.7140284960670015,0.7076249871880261,0.7076249871880261,0.7076249871880261
6467,0.7211659099835479,0.7117395746644364,0.7135242419971657,0.7135242419971657,0.7135242419971657
7376,0.7196600490184685,0.7118334927412684,0.7179905316015459,0.7179905316015459,0.7179905316015459
8285,0.7135552146864363,0.7073525184384913,0.7189717545273338,0.7189717545273338,0.7189717545273338
9195,0.710933110310809,0.7062076499001517,0.7191509075031715,0.7191509075031715,0.7191509075031715
10104,0.71403525162215,0.7097620363944336,0.7185653280177059,0.7131325072520434,0.7131325072520434
11014,0.7103258365133409,0.7084989507879562,0.7154852558097021,0.7126595355209212,0.7126595355209212
11923,0.7131622731192602,0.7075338710765512,0.7135090914854344,0.7095198471625835,0.7095198471625835
12833,0.7100964232316035,0.7059626722775152,0.7157731130257914,0.708274786538544,0.708274786538544
13742,0.7153499475630624,0.7081841487123819,0.713442193642558,0.7070566240790941,0.7070566240790941
14651,0.7113098102111735,0.7122487676006172,0.7110390690618569,0.7090571211856003,0.7077410401346337
15561,0.7096723869142422,0.7099189794049092,0.7118126154556352,0.7091486896290711,0.7057887797769484
16470,0.712460886169918,0.709291725068422,0.7155446727979797,0.7102336182206926,0.7090359094457455
17380,0.709192679460341,0.7095274378650478,0.7166400923910615,0.7096006832181935,0.7067448477232077
18289,0.7094026139873079,0.7087196240167141,0.7168534160357567,0.7100300751879699,0.7089175823035302
19199,0.7098141964182567,0.7086259422349935,0.7097213398234211,0.7073720435650733,0.7078483928556296
