mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.1353495597839356,1.41658175673389,0.0041121959686279295,0.0010970492030282378,relu,10.0,"(23,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 1e-06}",0.5522420065588501,0.5452498843757652,0.5380796703878022,0.5576451046361539,0.5561729674449285,0.549877762890663,0.007295971503396182,2763,0.5687497299261255,0.5500551992507219,0.5511719233411223,0.5473941102102654,0.5479979610941653,0.5530737847644801,0.007955964819710589
0.24391298294067382,0.046689533738889795,0.002997159957885742,0.0007585589448411437,relu,10.0,"(23,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.001}",0.5793714292621824,0.5804329031809511,0.5797157306393641,0.5927540634739263,0.5816771381269575,0.5827901568654736,0.005044142393794069,2657,0.5834552917660824,0.5786932246429283,0.5963492689935568,0.5825908622466398,0.5857048019135411,0.5853586899125497,0.005943481198856134
0.18395400047302246,0.02837027739659972,0.0034528255462646486,0.0006565019011692703,relu,10.0,"(23,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.002}",0.5770173802979638,0.5913416340953952,0.586515644790259,0.5860773306974031,0.5814672298512009,0.5844836585360462,0.004869383094835698,2654,0.5807113018310347,0.5896588527421239,0.5963241923823444,0.5780014723474421,0.5841532674948989,0.5857698173595688,0.00655848191844686
0.14407496452331542,0.02018252465441551,0.002728843688964844,0.000297663952758372,relu,10.0,"(23,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.004}",0.5859097546147923,0.5959854963378102,0.5888696937544775,0.5936903930619413,0.5818746914411381,0.5892661739696641,0.0051141125131025245,2640,0.5890839226455512,0.5964231131180658,0.6013183195738454,0.5859994626282987,0.5831461098510423,0.5911941855633607,0.006723833005959587
0.18779988288879396,0.030045720492043126,0.0036838531494140627,0.0008539244029885236,relu,10.0,"(23,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.008}",0.5980922570613915,0.6058188462968505,0.5797852563230587,0.6064181274617382,0.5755384872181618,0.5931315346126503,0.01303602163084839,2594,0.6038286255126365,0.6026433094475396,0.5935223515118583,0.5975739445490541,0.5755409243375633,0.5946218310717304,0.010228528831598705
0.20774321556091307,0.032366429887574454,0.003265571594238281,0.0008643520695170582,relu,10.0,"(23,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.016}",0.5999810366529013,0.612420763392007,0.5958086592727614,0.6046686496600798,0.5725772046420364,0.597092404550291,0.013440400512814773,2561,0.6037338161970752,0.6104915250423385,0.6074368080026465,0.5963095637030249,0.57454446405391,0.598503235399799,0.012881938545098105
0.14315361976623536,0.022689553085798387,0.0027136802673339844,0.0005683135214964432,relu,10.0,"(23,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.032}",0.581533200463985,0.6084509979958466,0.5950703267404848,0.6107944669647202,0.5932732781343906,0.5978239648899825,0.01072286352003415,2560,0.5881379475620157,0.6072403601136792,0.6064120682289791,0.6010912207437633,0.5951691555700642,0.5996101504437003,0.007183503724860951
0.1551058769226074,0.031929702902871115,0.0030474185943603514,0.0007121860978742742,relu,10.0,"(23,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.064}",0.574577077065733,0.6072418556707263,0.6022715250005289,0.6095853246395999,0.6109957140890435,0.600932781849917,0.013509052810116863,2554,0.5747281025362315,0.6090090997156445,0.6141585759231054,0.6006899634709751,0.608056247302439,0.6013283977896791,0.01397750992149323
0.16223740577697754,0.020169852413082678,0.002607297897338867,0.0005486410388429205,relu,10.0,"(23,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (23,), 'MLP__learning_rate_init': 0.128}",0.6207995430664413,0.6126988661267846,0.5894795549147102,0.5781430899027548,0.6154469041744137,0.6033138146636414,0.016528925594437555,2545,0.6255497223798048,0.6082518647905025,0.5996930874734714,0.5777311803339656,0.6106510537789277,0.6043753817513344,0.015713696128379157
0.13337135314941406,0.022220025616602617,0.0028541088104248047,0.0008157378571102521,relu,10.0,"(11,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 1e-06}",0.5018799652867495,0.49883242194230587,0.5048411035842002,0.49559040908307717,0.517884689378616,0.5038050509914859,0.0076835204335510875,2849,0.5045862717055931,0.5046324807290771,0.5042514264655106,0.5047850425800859,0.5012918695780364,0.5039094182116607,0.0013203180363844929
