param_MLP__max_iter,train acc,test acc
1,0.6251791951224199,0.6266138542842034
2,0.6400471814523111,0.6402524660659423
4,0.64592037959612,0.643745975493588
8,0.640949670937426,0.6358753995882324
16,0.664646841159825,0.6577239641345825
32,0.6641286437290528,0.6572867815898253
64,0.6473795375392525,0.6407690703751013
128,0.6473795375392525,0.6407690703751013
256,0.6473795375392525,0.6407690703751013
512,0.6473795375392525,0.6407690703751013
1024,0.6473795375392525,0.6407690703751013
2048,0.6473795375392525,0.6407690703751013
2100,0.6473795375392525,0.6407690703751013
2200,0.6473795375392525,0.6407690703751013
2300,0.6473795375392525,0.6407690703751013
2400,0.6473795375392525,0.6407690703751013
2500,0.6473795375392525,0.6407690703751013
2600,0.6473795375392525,0.6407690703751013
2700,0.6473795375392525,0.6407690703751013
2800,0.6473795375392525,0.6407690703751013
2900,0.6473795375392525,0.6407690703751013
3000,0.6473795375392525,0.6407690703751013
